Title,Reference,Company,Experience,Salary,Location,Job Description,Skills Required,Posted Date,Duration
Android Developer,https://www.naukri.com/job-listings-android-developer-appsinvo-noida-0-to-5-years-010923008048,Appsinvo,0-5 Yrs,Not disclosed,Noida(Sector-2 Noida),"Proficiency in Kotlin (must) languages to write clear, readable code. Experience with A...","['Android Application Development', 'MVVM', 'SQLite', 'API', 'Kotlin', 'Retrofit', 'Firebase', 'SDK']",2 Days Ago,N/A
Ui Ux Developer,https://www.naukri.com/job-listings-ui-ux-developer-creasophere-tech-pvt-ltd-pimpri-chinchwad-maharashtra-pune-maharashtra-0-to-2-years-010923007578,Creasophere Tech Pvt Ltd,0-2 Yrs,1.75-2.5 Lacs PA,"Pimpri-Chinchwad, Maharashtra, Pune, Maharashtra",You will be responsible for creating engaging and visually appealing user interfaces wh...,"['Ui/Ux', 'User Experience Design', 'UX', 'Interaction Design', 'Development', 'Usage', 'Experience Design']",2 Days Ago,N/A
React JS Developer ( Jaipur Location Only ),https://www.naukri.com/job-listings-react-js-developer-jaipur-location-only-coreteams-jaipur-rajasthan-0-to-1-years-010923007542,Coreteams,0-1 Yrs,1-1.75 Lacs PA,"Jaipur, Rajasthan",Experience with user interface designPrevious experience working as a react.js developer,"['Redux', 'React.Js', 'Javascript', 'Flux', 'Html And Css', 'HTML', 'Development', 'CSS']",2 Days Ago,N/A
Java Developer ( Jaipur location Only ),https://www.naukri.com/job-listings-java-developer-jaipur-location-only-coreteams-softech-pvt-ltd-jaipur-rajasthan-0-to-1-years-010923006455,CoreTeams Softech Pvt. Ltd.,N/A,Unpaid,"Jaipur, Rajasthan",N/A,[''],Starts within 1 month,2 months duration
Java Developer/ Intern / Fresher/ Trainee,https://www.naukri.com/job-listings-java-developer-intern-fresher-trainee-rapportsoft-pune-maharashtra-0-to-1-years-310823905386,Rapportsoft,N/A,Not disclosed,"Pune, Maharashtra",Java Developer/ Intern / Fresher/ Trainee for 2021 - 2023 Passout (Walk-In) Candidate m...,"['Java', 'Java Developer', 'Java Trainee', 'Core Java concept', 'Java technology', 'Core', 'Core Java Programming', 'Technology']",3 Days Ago,N/A
Labview Developer,https://www.naukri.com/job-listings-labview-developer-sofcon-india-noida-uttar-pradesh-new-delhi-delhi-gurgaon-gurugram-haryana-0-to-0-years-310823005281,Sofcon India,0-0 Yrs,Not disclosed,"Noida, Uttar Pradesh, New Delhi, Delhi, Gurgaon/ Gurugram, Haryana",• Knowledge of Labview Programming • Loop & Sequences • Structure & Nodes • Labview Sig...,"['LABVIEW DEVELOPMENT', 'Error Handling', 'Labview', 'NI LabVIEW', 'LABVIEW SIGNAL SIMULATION', 'Simulation', 'Handling', 'Signalling']",3 Days Ago,N/A
Web Developer,https://www.naukri.com/job-listings-web-developer-uv-sankalp-enterprises-mumbai-maharashtra-0-to-2-years-290723004669,UV Sankalp Enterprises,0-2 Yrs,2-2.5 Lacs PA,"Mumbai, Maharashtra",Hiring Web Developer . Basic Understanding of Frontend Technologies Knowledge of OOPs C...,"['HTML5', 'JavaScript', 'Web Development', 'Core PHP', 'CSS3', 'Web Design And Development', 'Bootstrap', 'HTML']",3 Days Ago,N/A
Fresher SQL Developer,https://www.naukri.com/job-listings-fresher-sql-developer-shakti-infosolutions-pvt-ltd-chennai-0-to-3-years-180821010703,Shakti Infosolutions,0-3 Yrs,Not disclosed,Chennai,Freshers with SQL programming knowledge in any database (Sybase/SQL Server/Oracle/MySQL),"['MySQL', 'Oracle', 'SQL', 'Development']",3 Days Ago,N/A
Matlab Developer,https://www.naukri.com/job-listings-matlab-developer-sofcon-india-noida-uttar-pradesh-0-to-1-years-170823005937,Sofcon India,0-1 Yrs,1.75-2.5 Lacs PA,"Noida, Uttar Pradesh","Good Knowledge of Data & Data Flow in Matlab, Editing & Debugging M Files, System Progr...","['Matlab Simulink', 'Debugging', 'Data Flow', 'MATLAB', 'Algorithm Development', 'Unit Testing', 'Programming', 'Program']",2 Days Ago,N/A
Data Assistant,https://www.naukri.com/job-listings-data-assistant-maplecroft-hyderabad-secunderabad-0-to-3-years-020923500911,Maplecroft,0-3 Yrs,Not disclosed,Hyderabad/Secunderabad,Graduates with excellent communication skills Good understanding and hands on experienc...,"['Basic', 'Relationship', 'Agile', 'Data processing', 'Data quality', 'Advanced Excel', 'Research', 'Continuous improvement']",1 Day Ago,N/A
